SemanaId;OrganizacionId;TipoOperacionId;EstadoId;Cantidad;Volumen
202540;24;3;6;6;821839.95
202540;24;3;7;1;1600
202540;24;4;2;14200;1152802548.05
202540;24;5;2;14200;1152802548.05
202540;25;1;2;14;1013
202540;25;2;2;14;1513
202540;25;4;2;1;500
202540;25;5;2;1;500
202540;28;1;2;8;60492098.83
202540;28;2;2;239;37125825.96
202540;29;3;2;9;153161.70
202540;30;1;2;3;10418993.88
202540;30;2;2;49;8809190.84
202540;30;4;2;6;10853288.06
202540;30;5;2;6;10853288.06
202540;31;1;2;9;538.90
202540;31;2;2;5;582.95
202540;31;14;2;17;187.20
202540;31;14;3;10;91
202540;32;1;2;2;55279.64
202540;32;2;2;3;200198.06
202540;32;3;2;1;100
202540;32;4;2;6;754.80
202540;32;5;2;6;754.80
202540;33;9;2;2;36000
202540;33;9;3;3;50000
202541;4;1;2;40507;8053356715.90
202541;4;1;3;641;55690258.13
202541;4;2;2;81116;13664353844.63
202541;4;3;2;2535;51707259.29
202541;4;3;3;110;2040137.44
202541;4;3;6;2;101807.70
202541;4;4;2;224;26929903.60
202541;4;5;2;224;26929903.60
202541;5;1;2;915926;46904361045.12
202541;5;1;3;13533;662221273.70
202541;5;2;2;1946802;55168447468.41
202541;5;3;2;48418;809973810.32
202541;5;3;3;2538;46139615.33
202541;5;3;6;48;2007613.30
202541;5;3;7;1;63157
202541;5;4;2;855;64031952.11
202541;5;5;2;855;64031952.11
202541;6;2;2;3;225000000
202541;6;3;2;9988;233423377.26
202541;6;3;3;878;23992793.90
202541;6;3;6;86;2807347.73
202541;6;3;7;1;49066.89
202541;8;1;2;13;86738876.73
202541;8;1;3;6;63524854.66
202541;8;2;2;492;31207678.03
202541;9;1;2;3716;46221241.09
202541;9;1;3;70;1539921.31
202541;9;2;2;9474;106600225.68
202541;9;3;2;839;30868299
202541;9;3;3;36;4277380.02
202541;9;4;2;69;1914020.60
202541;9;5;2;69;1914020.60
202541;9;7;2;9836;35583970
202541;11;1;3;1;4800
202541;13;1;2;1288;143761313.55
202541;13;1;3;37;4202297.65
202541;13;2;2;79;24284273.87
202541;13;3;2;5;72500
202541;13;4;2;5;1152000
202541;13;5;2;5;1152000
202541;14;1;2;390;391403857.35
202541;14;1;3;10;327700.13
202541;14;2;2;604;378508773.10
202541;14;3;2;38;519532.32
202541;14;3;3;1;7000
202541;14;4;2;1086;406272022.25
202541;14;5;2;1086;406272022.25
202541;15;1;2;1716;663199977.82
202541;15;1;3;47;14677460.82
202541;15;2;2;1841;604893837.03
202541;15;3;2;9;88600
202541;15;4;2;1625;671934889.39
202541;15;5;2;1625;671934889.39
202541;15;14;2;1;1000
202541;16;1;2;2;26754.99
202541;16;2;2;2;5013956
202541;16;3;2;93;5038943.22
202541;16;3;3;5;188290.88
202541;16;3;6;1;74945.70
202541;18;2;2;369;307656097.63
202541;18;3;2;13168;303690627.32
202541;18;3;3;548;16176859.36
202541;18;3;6;24;1139265.93
202541;18;3;7;1;69689.89
202541;19;1;2;6;1716439.16
202541;19;2;2;18;3227901
202541;19;4;2;1;1500
202541;19;5;2;1;1500
202541;20;1;2;96;9576132.52
202541;20;1;3;2;1581382.49
202541;20;2;2;157;12148048.45
202541;20;9;2;81;6783327.95
202541;20;9;5;35;3329573.33
202541;20;10;2;58;6243.78
202541;24;1;2;55516;11123238026.85
202541;24;1;3;2426;4039296006.53
202541;24;2;2;52325;9857337233.61
202541;24;3;2;3582;58268277.86
202541;24;3;3;226;5761624.38
202541;24;3;6;14;1264415.28
202541;24;4;2;36545;5994721523.44
202541;24;5;2;36545;5994721523.44
202541;25;1;2;1;1
202541;25;2;2;1;1
202541;28;1;2;4;39086249.35
202541;28;2;2;184;33834037.13
202541;29;2;2;1;1250000
202541;29;3;2;11;220818
202541;30;1;2;4;7415793.12
