SemanaId;OrganizacionId;Cantidad
202628;52;11
202628;56;37438
202628;60;1
202628;61;1
202629;3;5
202629;4;5969
202629;9;509
202629;14;170
202629;16;4614
202629;24;8280
202629;27;2
202629;31;28
202629;33;481
202629;37;999
202629;43;709
202629;47;77
202629;49;1
202629;50;2249
202629;52;13
202629;56;8055
202629;59;5
202629;61;8
202629;63;18
202630;3;5
202630;4;5266
202630;9;446
202630;14;146
202630;16;11232
202630;24;7781
202630;27;5
202630;30;10
202630;31;43
202630;33;704
202630;37;796
202630;42;3
202630;43;628
202630;47;33
202630;49;2
202630;50;2498
202630;52;19
202630;56;240
202630;58;1
202630;59;4
202630;62;2
202630;63;56
202631;3;5
202631;4;5944
202631;9;415
202631;14;105
202631;16;7720
202631;19;1
202631;24;8609
202631;27;3
202631;30;70
202631;31;70
202631;33;844
202631;37;1016
202631;42;3
202631;43;1465
202631;47;47
202631;49;2
202631;50;3406
202631;52;18
202631;56;249
202631;59;2
202631;62;1
202631;63;74
202631;64;6
202632;3;2
202632;4;6880
202632;9;403
202632;14;156
202632;16;5980
202632;24;10276
202632;27;8
202632;30;162
202632;31;88
202632;33;1029
202632;37;479
202632;43;1249
202632;47;111
202632;48;1
202632;49;1
202632;50;3291
202632;52;38
202632;56;283
202632;59;1
202632;60;3
202632;63;208
202632;65;1
202632;66;2
202633;3;1
202633;4;5690
202633;9;351
202633;14;170
202633;16;4563
202633;24;8945
202633;27;7
202633;30;145
202633;31;56
202633;33;759
202633;37;452
202633;42;1
202633;43;1029
202633;47;77
202633;49;1
202633;50;3038
202633;52;21
202633;56;283
202633;63;91
